[pNPA] (mM),slopes,initial_velocities
1,0.0005571428571428576,0.03714285714285718
0.5,0.0005392857142857137,0.035952380952380916
0.25,0.0005000000000000004,0.03333333333333337
0.125,0.00045000000000000004,0.030000000000000002
0.0625,0.0005107142857142859,0.03404761904761906
0.03125,0.0004928571428571429,0.032857142857142856
0.015625,0.00035714285714285714,0.02380952380952381
0.0078125,0.0002285714285714286,0.01523809523809524
0.00390625,0.00011071428571428571,0.007380952380952381
0.00195313,7.142857142857142e-05,0.0047619047619047615
